timestamp,BEARING_VIB_HP_FRONT-XMICRO_METER-UM,BEARING_VIB_HP_FRONT-Y,BEARING_VIB_HP_REAR-X,BEARING_VIB_HP_REAR-Y,BEARING_VIB_IP_REAR-X,BEARING_VIB_IP_REAR-Y,COOLING_WATER_TEMP_CT_FAN,MAIN_STEAM_FLOWTPH,ms_pressureKG-CM2,MS_TEMPERATURE,NOX_PPM,O2_LEVEL,REHEAT_TEMP_HRH,SHAFT_VIB._HP_FRONT-X,SHAFT_VIB._HP_FRONT-Y,SHAFT_VIB._HP_REAR-YMICRO_METER-UM,SHAFT_VIB._IP_REAR-X,SHAFT_VIB._IP_REAR-Y,SHAFT_VIB_HP_REAR-X,TOTAL_COAL_FLOW,TURBINE_LOADMW
2025-01-12 00:01:00,20.66476300239563,20.72914880752564,20.72915273666382,20.72913505554199,20.72914880752564,20.72914880752564,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.68651710510255,3.919461944103241,493.4103443908692,174.45351531982422,89.95229080200195,135.16421592712402,134.22112060546874,132.6376150512695,159.53376823425293,147.7004141998291,238.2896733093262
2025-01-12 00:02:00,20.664768896102903,20.72913702011109,20.72914978981018,20.72913702011109,20.72914880752564,20.72914880752564,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.67597129821775,3.919461944103241,493.4103443908692,173.15204330444337,90.23522018432618,136.72975746154785,135.86210945129395,106.09167381286622,159.32628616333008,147.7004141998291,238.2896733093262
2025-01-12 00:03:00,20.72933937072754,20.40726594924927,20.729160594940183,20.72914880752564,20.72915470123291,20.72914487838745,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.70807235717774,3.919461944103241,493.4103443908692,172.32211502075197,88.00952056884766,138.57822052001953,135.617001953125,132.63734786987305,158.42091842651368,147.7004141998291,238.2896733093262
2025-01-12 00:04:00,20.72914487838745,20.72994052886963,20.72954565048218,20.72934329986572,20.72914880752564,20.72915273666382,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.7713550567627,3.919461944103241,493.4103443908692,169.5871440887451,88.70740623474121,137.8803269958496,133.05411155700685,132.63734786987305,160.04303169250488,147.7004141998291,238.2896733093262
2025-01-12 00:05:00,20.72914880752564,20.857885055541992,20.729349193573,20.729347229003903,20.72953779220581,20.72915273666382,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.76470695495607,3.919461944103241,493.4103443908692,169.70031112670898,88.6130990600586,140.37008827209473,133.0520133972168,132.63734786987305,159.7035227203369,147.7004141998291,238.2896733093262
2025-01-12 00:06:00,20.72916255950928,20.72914193153381,16.409833450317382,20.600396842956545,20.72914880752564,20.729146842956546,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.76470695495607,3.919461944103241,493.4103443908692,172.75593116760254,90.1597728729248,142.7089627838135,132.66760223388673,132.63734786987305,160.45799583435058,147.7004141998291,238.2896733093262
2025-01-12 00:07:00,20.729150772094727,20.664760055542,20.72914880752564,20.729146842956546,20.729156665802,20.729156665802,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.76470695495607,3.919461944103241,493.4103443908692,170.4736519622803,90.08432556152344,139.21951873779298,135.61689979553222,132.63734786987305,158.5152256011963,147.7004141998291,238.2896733093262
2025-01-12 00:08:00,20.857893896102905,20.72914782524109,19.877526769638063,20.729345264434816,20.729156665802,20.72914487838745,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.76470695495607,3.919461944103241,493.4103443908692,170.90747596740724,90.159776802063,136.48454780578615,137.48423057556153,132.63734786987305,159.72238258361816,147.7004141998291,238.2896733093262
2025-01-12 00:09:00,20.72914880752564,20.72914487838745,14.745272722244264,20.85830154418945,20.729160594940183,20.729735231399538,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.76470695495607,3.919461944103241,493.4103443908692,175.79270706176757,91.23490688323974,134.91901412963867,134.80584709167482,132.63734786987305,158.7792872619629,147.7004141998291,238.2896733093262
2025-01-12 00:10:00,20.79371535301209,20.600393896102904,20.72915273666382,20.729355087280275,20.72916255950928,20.729350175857544,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.76470695495607,3.919461944103241,493.4103443908692,172.6239121246338,90.6690481185913,137.1447137451172,133.16935317993165,132.63734786987305,161.32563598632814,147.7004141998291,238.2896733093262
2025-01-12 00:11:00,20.85789978981018,20.729345264434816,20.729146842956546,20.72953779220581,20.729160594940183,20.72914193153381,31.29964737892151,499.90412536621096,146.32445358276368,493.4103286743164,132.76470695495607,3.919461944103241,493.4103443908692,171.62423721313476,91.42352123260498,139.01203666687013,132.98504516601562,132.63734786987305,161.11816177368163,147.7004141998291,238.2896733093262
